,portfolio_value,daily_return,daily_turnover
2021-10-13,118804.930899,-0.006008,
2021-10-14,118073.129233,-0.00616,
2021-10-15,118387.829193,0.002665,
2021-10-18,117687.274175,-0.005917,
2021-10-19,117587.010279,-0.000852,
2021-10-20,117800.303316,0.001814,
2021-10-21,118291.219788,0.004167,
2021-10-22,119334.684109,0.008821,
2021-10-25,124273.962036,0.04139,
2021-10-26,125567.144332,0.010406,
2021-10-27,126174.368806,0.004836,
2021-10-28,128481.778691,0.018287,
2021-10-29,130734.322381,0.017532,
2021-11-01,134049.647021,0.025359,
2021-11-02,133449.385865,-0.004478,
2021-11-03,135612.306042,0.016208,
2021-11-04,140489.785747,0.035966,
2021-11-05,140127.885845,-0.002576,
2021-11-08,138560.448233,-0.011186,
2021-11-09,132174.728906,-0.046086,
2021-11-10,131457.733747,-0.005425,
2021-11-11,132720.392709,0.009605,
2021-11-12,132190.498001,-0.003993,
2021-11-15,130812.346434,-0.010425,
2021-11-16,132516.662579,0.013029,
2021-11-17,131728.470734,-0.005948,
2021-11-18,136945.278572,0.039603,
2021-11-19,140572.227815,0.026485,
2021-11-22,138740.250117,-0.013032,
2021-11-23,136823.302245,-0.013817,
2021-11-24,138617.97346,0.013117,
2021-11-26,135007.462071,-0.026046,
2021-11-29,140338.138655,0.039484,
2021-11-30,139032.118256,-0.009306,
2021-12-01,135505.758207,-0.025364,
2021-12-02,135910.396917,0.002986,
2021-12-03,135060.946018,-0.00625,
2021-12-06,133566.311999,-0.011066,
2021-12-07,131699.696326,-0.013975,
2021-12-08,131015.80103,-0.005193,
2021-12-09,131854.819301,0.006404,
2021-12-10,133360.618682,0.01142,
2021-12-13,132637.938003,-0.005419,
2021-12-14,131652.892505,-0.007427,
2021-12-15,130914.926281,-0.005605,
2021-12-16,131542.200392,0.004791,
2021-12-17,131121.760821,-0.003196,
2021-12-20,132668.527123,0.011796,
2021-12-21,129429.052025,-0.024418,
2021-12-22,126346.561808,-0.023816,
2021-12-23,123718.057908,-0.020804,
2021-12-27,122479.562113,-0.010011,
2021-12-28,122693.857909,0.00175,
2021-12-29,122758.926621,0.00053,
2021-12-30,123123.317451,0.002968,
2021-12-31,122769.894488,-0.00287,
2022-01-03,122380.913972,-0.003168,
2022-01-04,122512.80795,0.001078,
2022-01-05,118923.47877,-0.029298,
2022-01-06,118404.727609,-0.004362,
2022-01-07,119594.719613,0.01005,
2022-01-10,119110.436076,-0.004049,
2022-01-11,118985.590346,-0.001048,
2022-01-12,118641.199162,-0.002894,
2022-01-13,117869.041443,-0.006508,
2022-01-14,117854.656288,-0.000122,
2022-01-18,119540.224382,0.014302,
2022-01-19,119055.041196,-0.004059,
2022-01-20,120276.141039,0.010257,
2022-01-21,120470.873043,0.001619,
2022-01-24,120231.905694,-0.001984,
2022-01-25,123382.823399,0.026207,
2022-01-26,122060.438539,-0.010718,
2022-01-27,124582.034064,0.020659,
2022-01-28,121094.910456,-0.027991,
2022-01-31,116031.643666,-0.041812,
2022-02-01,116882.066815,0.007329,
2022-02-02,115897.871604,-0.00842,
2022-02-03,120099.74938,0.036255,
2022-02-04,117165.261383,-0.024434,
2022-02-07,118803.71653,0.013984,
2022-02-08,118053.962382,-0.006311,
